ScenarioID;Scenario;ThreatID;ThreatName;ThreatDescription;VulnID;VulnerabilityName;VulnDescription
S16;No system logs are recorded;nan;nan;nan;V33;Lack of access control to the CED area;There is no targeted control (personal, electronic, physical)
S17;System logs are recorded. They are retained for at least five years, backed up periodically (at least once a year), and the following events are recorded: successful/denied system access, security policy changes, print jobs performed/stopped/failed, user creation/modification/addition, security group creation/modification/addition;T17;Entering false information;Subject who provides a false identity (fis.log.) to the system in order to gain access;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S18;System logs are recorded;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S18;System logs are recorded;nan;nan;nan;V2;Data stored in plain text;Confidential data is stored without any form of encryption or obfuscation
S18;System logs are recorded;nan;nan;nan;V3;Inadequate network segmentation;Network traffic flows uncontrolled between different security zones, leading to increased risk of lateral movement and data exfiltration
S18;System logs are recorded;nan;nan;nan;V4;Weak password policies;Lack of enforced complexity requirements or minimum length for user passwords, making them susceptible to brute force attacks
S18;System logs are recorded;nan;nan;nan;V5;Inadequate logging and monitoring;Insufficient detail in the logs or lack of timely response to detected anomalies, leading to undetected malicious activities
S18;System logs are recorded;nan;nan;nan;V6;Unpatched software;Running applications and systems with known vulnerabilities that have not been patched in a timely manner
S18;System logs are recorded;nan;nan;nan;V7;Insufficient access controls;Lack of proper role-based access control or overly permissive permissions, leading to unauthorized data access
S18;System logs are recorded;nan;nan;nan;V8;Insecure configuration settings;Default or insecure configurations in software and hardware components that can be exploited by attackers
S18;System logs are recorded;nan;nan;nan;V9;Insufficient data backup and recovery procedures;No regular, tested backups of critical data, making it difficult to restore in case of a data loss incident
S18;System logs are recorded;nan;nan;nan;V10;Inadequate physical security;Lack of secure physical access controls, surveillance, and environmental monitoring for the IT infrastructure
S19;There are no emergency plans;T3;Flooding;Flooding of the rooms where the systems and/or storage media are located;V27;Inadequate flood protection;Lack of a specific anti-flooding system to safeguard the system and the data contained within it (e.g. watertight bulkheads)
S19;There are no emergency plans;T3;Flooding;Flooding of the rooms where the systems and/or storage media are located;V27;Inadequate flood protection;Lack of a specific anti-flooding system to safeguard the system and the data contained within it (e.g. watertight bulkheads)
S20;There are emergency plans;nan;nan;nan;V1;Emergency plans not properly maintained or tested;The existence of emergency plans does not guarantee that they are up-to-date, regularly reviewed, and effectively tested
S21;There are contingency plans that are periodically tested and evaluated to update them if necessary.;nan;nan;nan;V12;Contingency plans not regularly tested and evaluated;Lack of periodic testing and evaluation of contingency plans, leading to potential inadequacies in crisis situations.
S22;There is no written procedure;T23;Unconditional access procedure;program, used by system administrators/network administrators to recover a system from a software or hardware failure and regain access, that bypasses all system protections;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S22;There is no written procedure;T23;Unconditional access procedure;program, used by system administrators/network administrators to recover a system from a software or hardware failure and regain access, that bypasses all system protections;V26;Inadequate fire protection;Lack of a specific fire protection system to safeguard the system and the data contained within it (e.g. fireproof safes and automatic shutdown system)
S22;There is no written procedure;T23;Unconditional access procedure;program, used by system administrators/network administrators to recover a system from a software or hardware failure and regain access, that bypasses all system protections;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S23;There are written procedures;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S23;There are written procedures;nan;nan;nan;V2;Written procedures not reviewed and updated regularly;Procedures are outdated or no longer relevant due to changes in technology or business requirements
S23;There are written procedures;nan;nan;nan;V3;Insufficient training of personnel on written procedures;Staff members are not adequately trained, leading to potential misuse or improper handling of information
S23;There are written procedures;nan;nan;nan;V4;Procedures not enforced consistently across the organization;Inconsistent application of procedures among different teams or departments can lead to security breaches
S23;There are written procedures;nan;nan;nan;V5;Lack of documented procedures for emergency situations;No clear guidelines on how to handle emergencies, such as data loss or system failures, leading to potential mishandling of sensitive information
S23;There are written procedures;nan;nan;nan;V6;Written procedures not accessible to all relevant personnel;Not all staff members have access to the necessary written procedures, potentially leading to misunderstandings or non-compliance
S23;There are written procedures;nan;nan;nan;V7;Procedures not reviewed and approved by senior management;Lack of top-level approval for security procedures can lead to unvetted or ineffective protocols being implemented
S23;There are written procedures;nan;nan;nan;V8;Written procedures do not cover all aspects of information security;Procedures are incomplete and may fail to address all potential security risks, leaving gaps in protection
S23;There are written procedures;nan;nan;nan;V9;Lack of a system for monitoring compliance with written procedures;No mechanism to verify that staff are adhering to the established protocols, leading to potential non-compliance and security vulnerabilities
S23;There are written procedures;nan;nan;nan;V10;Written procedures not translated into multiple languages (if applicable);Procedures are only available in one language, potentially excluding non-native speakers or limiting accessibility to information
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V2;Use of non-secure protocols for remote access and control;Remote access and control not performed using secure protocols (e.g., SSH, SFTP) but instead uses insecure protocols (telnet, HTTP)
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V3;Lack of physical security measures for equipment;Physical access control not strictly applied to all areas where the system is located
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V4;Inadequate user access management and monitoring;Access rights and permissions are not properly managed, or there is a lack of monitoring to ensure compliance with security policies
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V5;Use of weak passwords or default credentials;Weak or default user credentials used in the system, making it vulnerable to unauthorized access
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V6;Lack of regular security audits and updates;System is not subjected to regular security audits or updates, leaving vulnerabilities unpatched
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V7;Inadequate backup and recovery procedures;Backup processes are not properly defined, tested, or regularly performed, leading to data loss in case of failure
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V8;Insufficient security awareness training for staff;Employees are not trained adequately on security best practices and procedures
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V9;Lack of secure data disposal methods;There is no proper method for securely disposing of old or unnecessary data, which may include sensitive information
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V10;Inadequate physical security measures for storage devices;Storage devices are not secured physically to prevent unauthorized access (e.g., locked cabinets, secure rooms)
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V11;Lack of secure data transfer practices;Data is transferred using insecure methods (e.g., unencrypted emails, USB sticks) without proper security measures
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V12;Use of outdated software and firmware;System uses outdated software or firmware that is no longer supported and may contain known vulnerabilities
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V13;Lack of secure configuration management;Configuration settings are not properly managed, leading to insecure configurations that can be exploited
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V14;Inadequate security logging and monitoring;There is no proper logging or monitoring of system activities, making it difficult to detect unauthorized access attempts
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;nan;nan;nan;V15;Lack of secure development practices;Development processes do not include security best practices (e.g., code reviews, input validation) leading to insecure software
S25;Staff is not trained;T17;Entering false information;Entering incorrect information into a system by personnel authorized to access it;V24;Inadequate information validation and verification;No or inadequate mechanisms to validate the correctness of data entered into a system
S26;Staff is trained;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S26;Staff is trained;nan;nan;nan;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V2;Data stored on unprotected media;Sensitive and/or classified data is stored on media that does not have adequate security measures (e.g., unauthorized access, copying, etc.)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V3;System logs not properly managed;There are no procedures for the management of system logs, which could allow attackers to go undetected or to cover their tracks (e.g., deletion, alteration)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V4;Insecure software updates and patches;The software is not updated or patched in a timely manner, allowing known vulnerabilities to remain unpatched
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V5;Weak user authentication mechanisms;User authentication methods are weak and can be easily bypassed (e.g., simple passwords, lack of multi-factor authentication)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V6;Insecure software coding practices;Software is developed without following secure coding guidelines, leading to vulnerabilities that can be exploited
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V7;Unsecured remote access points;Remote access systems are not adequately secured (e.g., open SSH ports, weak or default credentials)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V8;Inadequate data backup and recovery procedures;There are no proper data backup and recovery plans in place, making it difficult to recover from a security incident
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V9;Insufficient physical security measures;The physical environment where the system is located does not have adequate security (e.g., unlocked doors, lack of surveillance)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V10;Inadequate access control policies;There are no effective policies in place to manage and restrict access to the system (e.g., overly permissive permissions, lack of audits)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V11;Insufficient security monitoring;There is no proper security monitoring in place to detect and respond to security incidents
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V12;Inadequate incident response plan;The organization does not have a well-defined incident response plan, making it difficult to effectively handle security incidents
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V13;Insufficient vulnerability assessments and penetration testing;Regular vulnerability assessments and penetration testing are not performed, leaving the system vulnerable to known threats
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V14;Insecure network configurations;Network configurations are not secure, allowing unauthorized access or data leakage (e.g., open services, misconfigured firewalls)
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V15;Unpatched hardware devices;Hardware devices are not regularly updated and patched, leaving them vulnerable to attacks
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V16;Insecure data transmission;Data is transmitted insecurely (e.g., using unencrypted protocols), making it susceptible to interception and tampering
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V17;Insufficient employee training on security best practices;Employees are not adequately trained on security best practices, leading to accidental breaches or security incidents
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V18;Inadequate secure development lifecycle;The software development process does not incorporate security measures from the beginning, making it prone to vulnerabilities
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V19;Insufficient security documentation and knowledge sharing;There is no proper documentation of security policies and procedures, or effective knowledge sharing among team members
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;nan;nan;nan;V20;Inadequate security risk assessment;Regular security risk assessments are not performed to identify potential vulnerabilities and threats
S28;The data is all contained in the same directory;T12;Accidental damage to media;Unintended damage to storage media that can lead to data loss;V30;Electromagnetic emanations;Equipment not adequately protected from compromising electromagnetic emissions.
S28;The data is all contained in the same directory;T12;Accidental damage to media;Unintended damage to storage media that can lead to data loss;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S29;The data is separated;T16;Fire;Fire in the premises where the systems and/or storage media are located;V26;Inadequate fire protection;Lack of a specific fire protection system to safeguard the system and the data contained within it (e.g. fireproof safes and automatic shutdown system)
S30;The data is separated according to its classification level and work program. Each directory (and the files it contains) is associated with one or more users or work groups according to the mandatory access control, and can only be accessed by the corresponding users.;T12;Accidental damage to media;Unintended damage to storage media that can lead to data loss;V36;No control over system clock;It is not possible to prevent access to the system clock through the use of unauthorized procedures.
S31;There is no log of changes made to the system;T26;Unnoticed data theft;Collection of information, even in small quantities, in a way that goes unnoticed;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S32;There is a log of changes made to the system;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S33;There is a log of the changes made to the system that reports: the date of the change, the reason, who made the change, who authorised the change, what was changed, signature of who made the change and who authorised the change;nan;nan;nan;V32;Inadequate access control to the CED area;The control of staff and visitors is not rigorous
S33;There is a log of the changes made to the system that reports: the date of the change, the reason, who made the change, who authorised the change, what was changed, signature of who made the change and who authorised the change;nan;nan;nan;V33;Lack of access control to the CED area;There is no targeted control (personal, electronic, physical)
S34;There is no register for access to restricted areas;T27;Violation of login procedures;Using software applications designed specifically, or through repeated attempts, to allow an unauthorized individual to gain access to the system;V32;Inadequate access control to the CED area;The control of staff and visitors is not rigorous
S34;There is no register for access to restricted areas;T27;Violation of login procedures;Using software applications designed specifically, or through repeated attempts, to allow an unauthorized individual to gain access to the system;V33;Lack of access control to the CED area;There is no targeted control (personal, electronic, physical)
S35;There is a register for access to restricted areas;nan;nan;nan;V2;Access to restricted areas not monitored;There is no direct visual or electronic monitoring of access to the restricted area
S35;There is a register for access to restricted areas;nan;nan;nan;V3;Incorrect handling of physical keys;Physical keys are not properly managed (e.g., duplicate keys, lost keys)
S36;There is a log for access to restricted areas which reports: date and time of access, name of the person accessing, reason for access, who authorised access, date and time of exit, signature of the person accessing and of the person authorised access;T17;Entering false information;Entering incorrect information into a system by personnel authorized to access it;V32;Inadequate access control to the CED area;The control of staff and visitors is not rigorous
S37;The computers are installed in 'open space' offices also open to the public;T1;Queuing access;Illegitimate access to a system obtained by 'tailing', electronically or physically, an authorized party;V32;Inadequate access control to the CED area;The control of staff and visitors is not rigorous
S37;The computers are installed in 'open space' offices also open to the public;T1;Queuing access;Illegitimate access to a system obtained by 'tailing', electronically or physically, an authorized party;V33;Lack of access control to the CED area;There is no targeted control (personal, electronic, physical)
S38;The computers are installed in locked offices;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S39;The computers are installed in offices that are only accessible to personnel authorized to access the system, with the monitors not facing the door or windows.;nan;nan;nan;;;
S40;No data backups are made;T12;Accidental damage to media;Unintended damage to storage media that can lead to data loss;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S40;No data backups are made;T12;Accidental damage to media;Unintended damage to storage media that can lead to data loss;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S40;No data backups are made;T12;Accidental damage to media;Unintended damage to storage media that can lead to data loss;V7;Lack of backup and recovery procedures;There is no system for the regular creation, validation, secure storage, or testing of backups
S41;Periodic data backups are performed;T2;Power supply;Power failure to devices which may cause loss or corruption of processed data;V14;Inadequate power protection for backup systems;Lack of a UPS system or other power protection mechanisms for the backup processes
S41;Periodic data backups are performed;T2;Power supply;Power failure to devices which may cause loss or corruption of processed data;V15;System not protected from power outages;No specific backup system in place to safeguard against power failures, leading to potential loss or corruption of data
S42;Periodic data backups are performed on a daily basis, in incremental mode, with rotation of the storage memories and relative conservation in special fireproof security containers and suitable for the highest classification level of the data contained therein. There are two copies of each backup, one of which is stored on site and the other at a secondary site, also approved at the same level as the main one and with the same conservation methods;T26;Unnoticed data theft;Collection of information, even in small quantities, in a way that goes unnoticed;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S42;Periodic data backups are performed on a daily basis, in incremental mode, with rotation of the storage memories and relative conservation in special fireproof security containers and suitable for the highest classification level of the data contained therein. There are two copies of each backup, one of which is stored on site and the other at a secondary site, also approved at the same level as the main one and with the same conservation methods;T26;Unnoticed data theft;Collection of information, even in small quantities, in a way that goes unnoticed;V12;Data storage devices not securely disposed of;Used magnetic disks, floppy disks, and CD/DVD media containing sensitive information are not physically destroyed or overwritten with secure data
S42;Periodic data backups are performed on a daily basis, in incremental mode, with rotation of the storage memories and relative conservation in special fireproof security containers and suitable for the highest classification level of the data contained therein. There are two copies of each backup, one of which is stored on site and the other at a secondary site, also approved at the same level as the main one and with the same conservation methods;T26;Unnoticed data theft;Collection of information, even in small quantities, in a way that goes unnoticed;V13;Data storage devices left unattended in open areas;Used magnetic disks, floppy disks, and CD/DVD media containing sensitive information are not kept in a secure location
