Scenario ID;User;Assistant - Extended;Assistant - Short;Assistant - Details;Assistant - Risk ID;Assistant - Risk description;Assistant - Vulnerability ID;Assistant - Vulnerability description;Assistant - Risk occurrence type
S7;A fire protection system with smoke detector and temperature control system is installed on the site;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on the type of fire prevention system are missing;M16;Fire;V26;Inadequate fire protection;Potential
S7;A fire protection system with smoke detector and temperature control system is installed on the site;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on the type of fire prevention system are missing;M16;Fire;V28;Inadequate high temperature protection;Potential
S8;The site is equipped with a fire protection system based on Halon 1301 gas with smoke detector and a temperature control system based on a redundant air conditioner with humidity sensors. In addition, the system is connected to the nearest Fire Brigade station which is automatically contacted in the event of an alarm.;The described scenario presents no known security threats.;No;;;;;;
S9;A password is required to access the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on password features are missing;M1;Queuing access;V8;Inadequate logical access control;Potential
S9;A password is required to access the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on password features are missing;M5;Trojan Horse Attack;V9;Non-existent logical access procedures;Potential
S9;A password is required to access the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on password features are missing;M6;Computer virus attack;V10;Incorrect input/output procedures;Potential
S9;A password is required to access the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on password features are missing;M7;Logic bombs;V11;Errors in programs;Potential
S9;A password is required to access the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on password features are missing;M21;Masking;V12;Untested emergency procedures;Potential
S9;A password is required to access the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on password features are missing;M27;Violation of login procedures;V13;Lack of emergency procedures;Potential
S9;A password is required to access the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on password features are missing;M28;Network worm;V14;Inadequate supervision;Potential
S10;Anyone can access the system;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized physical access;M15;Physical theft of media;V32;Inadequate access control to the CED area;Real
S10;Anyone can access the system;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized physical access;M25;Sabotage;V32;Inadequate access control to the CED area;Real
S10;Anyone can access the system;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized physical access;M25;Sabotage;V33;Lack of access control to the CED area;Real
S10;Anyone can access the system;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M1;Queuing access;V8;Inadequate logical access control;Real
S10;Anyone can access the system;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M5;Trojan Horse Attack;V9;Non-existent logical access procedures;Real
S10;Anyone can access the system;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M6;Computer virus attack;V9;Non-existent logical access procedures;Real
S10;Anyone can access the system;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M7;Logic bombs;V9;Non-existent logical access procedures;Real
S10;Anyone can access the system;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M28;Network worm;V9;Non-existent logical access procedures;Real
S11;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M1;Queuing access;V8;Inadequate logical access control;Real
S11;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M5;Trojan Horse Attack;V8;Inadequate logical access control;Real
S11;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M6;Computer virus attack;V8;Inadequate logical access control;Real
S11;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M7;Logic bombs;V8;Inadequate logical access control;Real
S11;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M21;Masking;V8;Inadequate logical access control;Real
S11;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M27;Violation of login procedures;V8;Inadequate logical access control;Real
S11;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M28;Network worm;V8;Inadequate logical access control;Real
S12;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The access credentials are nominative and it is forbidden to reveal them to third parties;The described scenario presents no known security threats.;No;;;;;;
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M1;Queuing access;V8;Inadequate logical access control;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M5;Trojan Horse Attack;V9;Non-existent logical access procedures;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M6;Computer virus attack;V9;Non-existent logical access procedures;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M7;Logic bombs;V9;Non-existent logical access procedures;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to data theft/theft;M26;Unnoticed data theft;V7;Untested software applications;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to data theft/theft;M26;Unnoticed data theft;V14;Inadequate supervision;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to data theft/theft;M26;Unnoticed data theft;V17;Misuse of information by end users;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to data theft/theft;M26;Unnoticed data theft;V21;Insufficient separation of logical work areas;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to data theft/theft;M26;Unnoticed data theft;V23;Unauthorized software applications;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to data theft/theft;M26;Unnoticed data theft;V25;Insufficient information surveillance;Real
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized logical access;M28;Network worm;V9;Non-existent logical access procedures;Real
S14;The system is installed in the highest-ranking operating mode, and only authorized users can access documents.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;There are no details on how to access the documents;M26;Unnoticed data theft;V7;Untested software applications;Potential
S14;The system is installed in the highest-ranking operating mode, and only authorized users can access documents.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;There are no details on how to access the documents;M26;Unnoticed data theft;V14;Inadequate supervision;Potential
S14;The system is installed in the highest-ranking operating mode, and only authorized users can access documents.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;There are no details on how to access the documents;M26;Unnoticed data theft;V17;Misuse of information by end users;Potential
S14;The system is installed in the highest-ranking operating mode, and only authorized users can access documents.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;There are no details on how to access the documents;M26;Unnoticed data theft;V21;Insufficient separation of logical work areas;Potential
S14;The system is installed in the highest-ranking operating mode, and only authorized users can access documents.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;There are no details on how to access the documents;M26;Unnoticed data theft;V23;Unauthorized software applications;Potential
S14;The system is installed in the highest-ranking operating mode, and only authorized users can access documents.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;There are no details on how to access the documents;M26;Unnoticed data theft;V25;Insufficient information surveillance;Potential
S15;The system is installed in the highest-ranking operating mode, and only authorized users can access documents based on their security clearance level and need-to-know.;The described scenario presents no known security threats.;No;;;;;;
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M1;Queuing access;V8;Inadequate logical access control;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M1;Queuing access;V19;Changing system hardware configuration;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M1;Queuing access;V22;Changing system software configuration;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V4;Failure to periodically check the procedures installed on the system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V21;Insufficient separation of logical work areas;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V4;Failure to periodically check the procedures installed on the system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V8;Inadequate logical access control;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V9;Non-existent logical access procedures;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V4;Failure to periodically check the procedures installed on the system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V8;Inadequate logical access control;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V9;Non-existent logical access procedures;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M7;Logic bombs;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M7;Logic bombs;V4;Failure to periodically check the procedures installed on the system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M7;Logic bombs;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M7;Logic bombs;V8;Inadequate logical access control;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M7;Logic bombs;V9;Non-existent logical access procedures;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M7;Logic bombs;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M7;Logic bombs;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M10;Covert storage channel;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M10;Covert storage channel;V4;Failure to periodically check the procedures installed on the system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M10;Covert storage channel;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M10;Covert storage channel;V20;Lack of software to control hardware configurations;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M10;Covert storage channel;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M10;Covert storage channel;V36;No control over system clock;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M11;Covert timing channel;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M11;Covert timing channel;V4;Failure to periodically check the procedures installed on the system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M11;Covert timing channel;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M11;Covert timing channel;V20;Lack of software to control hardware configurations;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M11;Covert timing channel;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M11;Covert timing channel;V36;No control over system clock;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M14;Accidental error;V6;Insufficient error detection;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M14;Accidental error;V10;Incorrect input/output procedures;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M14;Accidental error;V11;Errors in programs;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M14;Accidental error;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M17;Entering false information;V10;Incorrect input/output procedures;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M17;Entering false information;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M20;Service interruption;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M20;Service interruption;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M20;Service interruption;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M21;Masking;V8;Inadequate logical access control;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M21;Masking;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M21;Masking;V25;Insufficient information surveillance;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M22;Hidden access doors;V2;Uncontrolled changes to the operating system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M22;Hidden access doors;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M22;Hidden access doors;V5;"Exploiting operating system ""holes""";Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M22;Hidden access doors;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M23;Unconditional access procedure;V2;Uncontrolled changes to the operating system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M23;Unconditional access procedure;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M23;Unconditional access procedure;V5;"Exploiting operating system ""holes""";Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M23;Unconditional access procedure;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M25;Sabotage;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M26;Unnoticed data theft;V4;Failure to periodically check the procedures installed on the system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M26;Unnoticed data theft;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M26;Unnoticed data theft;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M26;Unnoticed data theft;V21;Insufficient separation of logical work areas;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M26;Unnoticed data theft;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M26;Unnoticed data theft;V25;Insufficient information surveillance;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M27;Violation of login procedures;V2;Uncontrolled changes to the operating system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M27;Violation of login procedures;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M27;Violation of login procedures;V5;"Exploiting operating system ""holes""";Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M27;Violation of login procedures;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M27;Violation of login procedures;V8;Inadequate logical access control;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M27;Violation of login procedures;V23;Unauthorized software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M28;Network worm;V3;Uncontrolled changes to the application software;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M28;Network worm;V4;Failure to periodically check the procedures installed on the system;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M28;Network worm;V7;Untested software applications;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M28;Network worm;V8;Inadequate logical access control;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M28;Network worm;V9;Non-existent logical access procedures;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M28;Network worm;V14;Inadequate supervision;Real
S16;No system logs are recorded;The described scenario presents at least one security threat.;Yes;It is not possible to monitor the system and its use by users;M28;Network worm;V23;Unauthorized software applications;Real
S17;System logs are recorded. They are retained for at least five years, backed up periodically (at least once a year), and the following events are recorded: successful/denied system access, security policy changes, print jobs performed/stopped/failed, user creation/modification/addition, security group creation/modification/addition;The described scenario presents no known security threats.;No;;;;;;
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on password features are missing;M1;Queuing access;V8;Inadequate logical access control;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M1;Queuing access;V19;Changing system hardware configuration;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M1;Queuing access;V22;Changing system software configuration;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V3;Uncontrolled changes to the application software;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V4;Failure to periodically check the procedures installed on the system;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V7;Untested software applications;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V23;Unauthorized software applications;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M4;Asynchronous attack;V21;Insufficient separation of logical work areas;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V3;Uncontrolled changes to the application software;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V4;Failure to periodically check the procedures installed on the system;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V7;Untested software applications;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V8;Inadequate logical access control;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V9;Non-existent logical access procedures;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V14;Inadequate supervision;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M5;Trojan Horse Attack;V23;Unauthorized software applications;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V3;Uncontrolled changes to the application software;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V4;Failure to periodically check the procedures installed on the system;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V7;Untested software applications;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V8;Inadequate logical access control;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V9;Non-existent logical access procedures;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V14;Inadequate supervision;Potential
S18;System logs are recorded;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to monitor the system and its use by users;M6;Computer virus attack;V23;Unauthorized software applications;Potential
